time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,2,2,2,2
2025-10-11 00:00:00+00:00,2,2,2,1
2025-10-12 00:00:00+00:00,5,5,3,1
2025-10-13 00:00:00+00:00,2,2,2,1
2025-10-14 00:00:00+00:00,27,6,4,1
2025-10-15 00:00:00+00:00,3,3,43,2
2025-10-16 00:00:00+00:00,9,3,3,1
2025-10-17 00:00:00+00:00,9,4,5,3
2025-10-18 00:00:00+00:00,16,5,3,2
2025-10-19 00:00:00+00:00,16,5,1,1
2025-10-20 00:00:00+00:00,2,2,25,6
2025-10-21 00:00:00+00:00,13,3,51,3
2025-10-22 00:00:00+00:00,8,3,3,2
2025-10-23 00:00:00+00:00,14,4,7,3
