url_path,views_total,views_unique
/ConesaLab/IsoAnnot,23,11
/ConesaLab/IsoAnnot/tree/dev,16,1
/ConesaLab/IsoAnnot/tree/dev/IsoAnnot,13,1
/ConesaLab/IsoAnnot/tree/dev/IsoAnnot/config,11,1
/ConesaLab/IsoAnnot/tree/dev/IsoAnnot/config/mytranscripts/hsapiens,7,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,6,2
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config,6,2
/ConesaLab/IsoAnnot/blob/dev/IsoAnnot/config/generic/Snakefile.smk,6,1
/ConesaLab/IsoAnnot/tree/dev/IsoAnnot/config/generic,5,1
/ConesaLab/IsoAnnot/commits/dev,4,1
