time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,14,7,1,1
2026-04-30 00:00:00+00:00,12,4,0,0
2026-05-01 00:00:00+00:00,10,5,0,0
2026-05-02 00:00:00+00:00,19,6,0,0
2026-05-03 00:00:00+00:00,32,10,0,0
2026-05-04 00:00:00+00:00,20,6,1,1
2026-05-05 00:00:00+00:00,8,3,2,2
2026-05-06 00:00:00+00:00,21,8,0,0
2026-05-07 00:00:00+00:00,10,5,0,0
2026-05-08 00:00:00+00:00,11,5,0,0
2026-05-09 00:00:00+00:00,15,6,0,0
2026-05-10 00:00:00+00:00,24,7,3,3
2026-05-11 00:00:00+00:00,34,8,1,1
2026-05-12 00:00:00+00:00,34,9,2,1
