time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,6.0,5.0,6,2
2025-10-31 00:00:00+00:00,10.0,5.0,6,2
2025-11-01 00:00:00+00:00,1.0,1.0,1,1
2025-11-02 00:00:00+00:00,3.0,2.0,3,2
2025-11-03 00:00:00+00:00,12.0,3.0,5,3
2025-11-04 00:00:00+00:00,2.0,2.0,9,3
2025-11-05 00:00:00+00:00,3.0,3.0,26,2
2025-11-06 00:00:00+00:00,3.0,3.0,6,3
2025-11-07 00:00:00+00:00,23.0,8.0,25,3
2025-11-08 00:00:00+00:00,8.0,3.0,2,2
2025-11-09 00:00:00+00:00,4.0,3.0,3,1
2025-11-10 00:00:00+00:00,2.0,2.0,17,3
2025-11-11 00:00:00+00:00,2.0,2.0,41,3
2025-11-12 00:00:00+00:00,,,21,1
