time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-23 00:00:00+00:00,18.0,7.0,7,3
2025-10-24 00:00:00+00:00,2.0,2.0,5,3
2025-10-25 00:00:00+00:00,2.0,2.0,4,2
2025-10-26 00:00:00+00:00,11.0,6.0,4,2
2025-10-27 00:00:00+00:00,8.0,3.0,8,5
2025-10-28 00:00:00+00:00,2.0,2.0,6,2
2025-10-29 00:00:00+00:00,28.0,7.0,19,2
2025-10-30 00:00:00+00:00,6.0,5.0,6,2
2025-10-31 00:00:00+00:00,10.0,5.0,6,2
2025-11-01 00:00:00+00:00,1.0,1.0,1,1
2025-11-02 00:00:00+00:00,3.0,2.0,3,2
2025-11-03 00:00:00+00:00,12.0,3.0,5,3
2025-11-04 00:00:00+00:00,2.0,2.0,9,3
2025-11-05 00:00:00+00:00,,,26,2
